period,cow,date_range,avg_elo,sd_elo,median_elo
1,6121,2020-11-24 to 2020-12-03,888.3,15.369883972669843,883.5
1,6129,2020-11-24 to 2020-12-03,938.7,26.49129836170528,935
1,7018,2020-11-24 to 2020-12-03,969.9,23.99282300096334,967.5
1,7019,2020-11-24 to 2020-12-03,1167.1,24.21867965939606,1163
1,7022,2020-11-24 to 2020-12-03,1028.2,29.31741992589237,1030
1,7023,2020-11-24 to 2020-12-03,858.3,26.445121373222026,853
1,7024,2020-11-24 to 2020-12-03,773.7,28.597008390544786,771
1,7027,2020-11-24 to 2020-12-03,973.6,39.16687943204621,979.5
1,7033,2020-11-24 to 2020-12-03,786.2,26.665833320312093,784
1,7043,2020-11-24 to 2020-12-03,766.1,25.383502954127948,759.5
2,4008,2021-03-24 to 2021-04-02,885.5,45.49542101501352,884
2,4026,2021-03-24 to 2021-04-02,1064.5,38.37027205764611,1077
2,4044,2021-03-24 to 2021-04-02,934.8,24.165172367594558,931
2,4057,2021-03-24 to 2021-04-02,818,34.1272129929572,812.5
2,4080,2021-03-24 to 2021-04-02,921.9,46.99042455649874,931.5
2,5035,2021-03-24 to 2021-04-02,1010.9,24.301120230237213,1007.5
2,5064,2021-03-24 to 2021-04-02,1075.5,29.14046442091592,1080
2,5096,2021-03-24 to 2021-04-02,1152.7,28.28446766533023,1162
2,5100,2021-03-24 to 2021-04-02,1090.3,35.049330315364884,1102
2,5118,2021-03-24 to 2021-04-02,988.6,25.923820020291075,991
2,5120,2021-03-24 to 2021-04-02,1378.3,28.03192624292681,1377
2,6025,2021-03-24 to 2021-04-02,1017.7,49.49309716179284,1006.5
2,6029,2021-03-24 to 2021-04-02,1174,14.220486005134362,1171
2,6041,2021-03-24 to 2021-04-02,1027.3,28.68623363217974,1035.5
2,6045,2021-03-24 to 2021-04-02,878.2,34.292208379682336,868
2,6061,2021-03-24 to 2021-04-02,1236.5,16.74149867179691,1238
2,6062,2021-03-24 to 2021-04-02,871.7,26.3483079785654,872
2,6064,2021-03-24 to 2021-04-02,844.8,37.51681104666428,830
2,6067,2021-03-24 to 2021-04-02,1103.1,33.79497003993346,1100
2,6068,2021-03-24 to 2021-04-02,1090.6,40.139202228688546,1093
2,6084,2021-03-24 to 2021-04-02,993.5,18.32575600987128,993.5
2,6086,2021-03-24 to 2021-04-02,923.7,47.37333990055307,904
2,6087,2021-03-24 to 2021-04-02,1039.7,37.88887259693361,1039
2,6090,2021-03-24 to 2021-04-02,667.5,9.131751687868483,668.5
2,6092,2021-03-24 to 2021-04-02,787,47.031904065219386,766.5
2,6096,2021-03-24 to 2021-04-02,896.2,41.45358850570117,897.5
2,6125,2021-03-24 to 2021-04-02,1229.5,31.049244041611633,1226
2,7025,2021-03-24 to 2021-04-02,814.8,27.091614118681736,817.5
2,7045,2021-03-24 to 2021-04-02,927.4,26.667499986979575,940
2,7046,2021-03-24 to 2021-04-02,1155,24.850665092821068,1148
2,7048,2021-03-24 to 2021-04-02,1023.4,12.447221912271562,1022.5
2,7060,2021-03-24 to 2021-04-02,852.4,17.385817975196527,858
2,7064,2021-03-24 to 2021-04-02,726.4,27.821654236303857,729.5
2,7068,2021-03-24 to 2021-04-02,707.4,36.718750886524816,707
2,7078,2021-03-24 to 2021-04-02,976.5,21.808510061696353,977.5
2,7109,2021-03-24 to 2021-04-02,835.3,34.71487033278711,837.5
2,7110,2021-03-24 to 2021-04-02,1012.8,26.041846666044588,1012.5
2,7114,2021-03-24 to 2021-04-02,921.7,19.24722202177643,917
2,7115,2021-03-24 to 2021-04-02,989.7,38.52286478328307,992.5
2,7116,2021-03-24 to 2021-04-02,950.7,34.74366449041065,951.5
2,7119,2021-03-24 to 2021-04-02,1158.8,29.604053776467847,1156
2,7128,2021-03-24 to 2021-04-02,1191.6,30.133775807960813,1189
2,7136,2021-03-24 to 2021-04-02,925.4,30.467468990165017,916
2,7138,2021-03-24 to 2021-04-02,1095.7,30.044596482192564,1096.5
2,7147,2021-03-24 to 2021-04-02,1090,31.923519716834342,1086.5
2,7153,2021-03-24 to 2021-04-02,954.9,32.30909744604108,947.5
2,7163,2021-03-24 to 2021-04-02,1327.2,30.828558188796315,1319.5
2,8083,2021-03-24 to 2021-04-02,811.9,27.3188986275476,810
